Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
7.34933612913841e-07,0.740803365031396,5.44441293521254e-07,1.26419781979908e-06,1.064e-06,0.809402262665019,46.3753335790449,0.500580051823806,0.45064554024337,0.951225592067176,0.0487744079328242,1,1.2447561888998,1.04266532676883,0.202090862130975,9.29260702527173,7.7839172256722,1.50868979959953,0.131786452361808,-0.991278129978609,0.997546493284094,0.0700070977587765,0.998072009483152,0.0620666084643229,0.531033304232161,0.468966695767839,-0.0304532524083554,-0.0183211555244684,0.499812742519956,0.499812742520444,0.494414034008848,0.494414033959483,0.000155328648925168,0.00541596333317992,OK
8.88796527784085e-07,0.677635280269581,6.02279884207599e-07,2.67403369233322e-06,1.064e-06,0.641705060434437,36.7669916550806,0.025994352799453,0.945021723301901,0.971016076101354,0.0289839238986468,1,1.30152116660762,1.08249068114033,0.219030485467291,20.5521069286046,17.0934325148177,3.45867441378697,0.991332900898034,-0.131373816253807,-0.982876032834804,-0.184268022399216,-0.311795128525669,-0.95014935553715,0.024925322231425,0.975074677768575,0.00106903056802799,-0.0300529544666741,0.498997572117276,0.498997572139207,0.485868609957274,0.485868609866765,0.00089132497901515,0.0139837763029437,OK
9.77134744865572e-07,0.74478804420696,7.27758275555097e-07,2.86629407599574e-06,1.064e-06,0.575732036702965,32.9870158335509,0.0195308468264207,0.942513603877429,0.96204445070385,0.0379555492961495,0.999999999999999,1.33406763415282,1.16576880260816,0.168298831544669,22.5806705432717,19.7320140204403,2.84865652283144,-0.555963743243899,-0.831206542441908,0.772302729352017,0.63525466880254,0.288764517802516,-0.957400153153466,0.0212999234232669,0.978700076576733,-0.00176907659684624,-0.0361864726993041,0.499515436199379,0.499515436222237,0.483282349383024,0.483282349621164,0.000400739736178101,0.016259977675308,OK
1.04723665821641e-06,0.492432118543384,5.15692966221801e-07,1.16820853388581e-06,1.064e-06,0.532865466609645,30.5309422850019,0.268791328637881,0.68944669697488,0.958238025612761,0.0417619743872397,1,1.29872819443468,1.00612412535128,0.292604069083404,8.95935785885552,6.94081034667448,2.01854751218104,0.448798258014864,-0.893633103461831,0.61123892426525,0.791446130487136,0.901422981523057,-0.432939497368953,0.283530251315523,0.716469748684476,-0.0147389226776426,-0.0270230517095962,0.490681383664882,0.490681383677438,0.477915430114539,0.477915430092792,0.00922355689898871,0.0215089339446636,OK
6.81960428920657e-07,0.500201020228373,3.41117302301491e-07,2.12923787586735e-06,1.064e-06,0.894831890198195,51.2700906820705,0.382974834100384,0.536918707409482,0.919893541509866,0.0801064584901337,1,1.14766601906892,0.788543873071128,0.359122145997792,14.4303859363144,9.91489878332725,4.51548715298711,0.957318433650045,-0.289035320668295,-0.470732490448653,-0.882275989946461,-0.980677385068401,-0.195631966752377,0.402184016623811,0.597815983376188,-0.019209182523427,-0.0608972759667065,0.497876987929013,0.497876987940206,0.496752559690986,0.496752559875984,0.00209363192413187,0.0031874266390058,OK
1.12613050090596e-06,0.363635190170182,4.09500678853379e-07,9.88205707117298e-07,1.064e-06,0.492027857691308,28.1911196485754,0.340531480059822,0.611567084913257,0.973760245055075,0.0262397549449257,1,1.2621796105528,0.945021381459854,0.317158229092949,7.36557673445193,5.51476782119127,1.85080891326066,0.883082431391107,0.469217880486636,-0.694998263724596,0.719011413970458,0.961051959893737,-0.276367744833596,0.361816127583202,0.638183872416798,-0.0212846475233803,-0.0266167875035408,0.47964737400593,0.479647373913687,0.489258408122053,0.489258407819664,0.0200050871928608,0.00971733488580705,OK
1.26716467412372e-06,0.377459452562777,4.7830328420163e-07,3.04803871334653e-06,1.064e-06,0.433263443968973,24.824166756725,0.800499416020643,0.108580386677059,0.980830393118423,0.0191696068815759,0.999999999999999,1.29460453774383,0.98501884193362,0.30958569581021,23.3021419776578,17.7297763418987,5.57236563575908,-0.966440623705992,-0.256890094886456,-0.900004387029912,0.435880836154691,-0.652455159537169,0.757827331780352,0.878913665890176,0.121086334109824,-0.0784142498695327,-0.0125059474327648,0.472632903562317,0.472632903539309,0.476197234453191,0.476197234407676,0.0269318637176799,0.0216442730382868,OK
1.02915513315034e-06,0.662642309297536,6.81961734056153e-07,1.73558932376247e-06,1.064e-06,0.543259398359312,31.1264707068049,0.233285171706761,0.734795043083821,0.968080214790582,0.0319197852094165,0.999999999999999,1.33465736125261,1.12576484347212,0.208892517780497,13.6790203769932,11.5380626373685,2.14095773962468,0.896873787316302,0.442286569573295,-0.856426677074646,0.516268676945328,0.841813860659134,-0.53976793532236,0.23011603233882,0.76988396766118,0.00316913936794094,-0.0350889245773587,0.498013260179356,0.498013260151581,0.473981067999256,0.473981067900339,0.00179385028644089,0.0258478164857133,OK
1.11950470182858e-06,0.514976961893928,5.7651913017365e-07,3.53932667177696e-06,1.064e-06,0.495202860545816,28.3730339120807,0.84624601482297,0.0806269256337809,0.961722749193272,0.0382772508067286,1,1.31983701511027,1.04584998133955,0.273987033770719,27.5853941284839,21.8588989429946,5.72649518548927,0.635719113964552,-0.771920467496571,0.131864462208122,-0.991267755758535,-0.528378982078568,0.849008628517765,0.924504314258882,0.0754956857411176,-0.078258299435912,0.0051312398926633,0.490125267580478,0.490125267579721,0.466918651953573,0.466918651878359,0.00972647427004897,0.0324179794271783,OK
9.74230904064538e-07,0.464314094726272,4.52349140275083e-07,1.3281893376928e-06,1.064e-06,0.577667950414681,33.0979355187337,0.112456992429559,0.857000112963844,0.969457105393403,0.030542894606596,0.999999999999999,1.27087474428271,0.959539570605635,0.311335173677072,9.96783818379035,7.52594637179525,2.44189181199511,-0.516758359977397,-0.856131296819285,0.94667717675899,0.322183678983944,0.643988849444667,-0.76503487619254,0.11748256190373,0.88251743809627,-0.00502556947417163,-0.0255173251324254,0.491282924300396,0.491282924247491,0.486669500964812,0.486669500843521,0.00866121317929436,0.0128564327460412,OK
8.6856639475031e-07,0.467531556191674,4.06082198193404e-07,7.9594191841599e-07,1.064e-06,0.659223894131027,37.7707468878869,0.493144615367307,0.466537292347573,0.959681907714879,0.0403180922851193,0.999999999999999,1.2378183775259,0.913362785444577,0.324455592081319,5.81803787496858,4.29302018437044,1.52501769059813,-0.448554574661307,0.893755443927708,-0.913346138422677,-0.407184026489724,0.998952341216594,0.045762648283137,0.522881324141569,0.477118675858432,-0.0297367087742619,-0.0105813835108587,0.494096206107739,0.494096206154816,0.492076355253881,0.492076355569222,0.00586262327728076,0.00766739721015799,OK
9.40992578814105e-07,0.374297779523011,3.52211432797752e-07,3.21417234549359e-06,1.064e-06,0.600870195623924,34.427326244451,0.970860713942327,0.000538134669258885,0.971398848611585,0.0286011513884143,1,1.21922640384816,0.890769136743237,0.328457267104926,23.1415135300326,16.9072339354014,6.23427959463121,-0.912912958965555,-0.408154296011637,-0.931774558798578,-0.363037424483641,-0.0488862196873931,0.998804353977633,0.999402176988816,0.000597823011183716,-0.0285414630464899,-5.96883419248316e-05,0.488802157637808,0.488802157755325,0.495038330208056,0.495038330450058,0.0110668936176877,0.00454522740309622,OK
7.26499673236045e-07,0.633047838571335,4.59909047864859e-07,1.03499111488662e-06,1.064e-06,0.821661564960998,47.0777398603795,0.416353488507047,0.511905087018626,0.928258575525673,0.0717414244743264,0.999999999999999,1.22113301416775,0.945057967988521,0.276075046179227,7.46341918816807,5.77608146727882,1.68733772088925,0.924695078193548,0.38070856618236,-0.485647595245238,0.87415468495714,0.993216734415425,-0.116277764328178,0.441861117835911,0.558138882164089,-0.0255076293288641,-0.0462337951454629,0.499143919666216,0.499143919709405,0.493680262136785,0.493680262207859,0.000789558275420068,0.00628590444068069,OK
1.03676844332647e-06,0.607889109789949,6.30240246072037e-07,3.21628745789742e-06,1.064e-06,0.538830910103354,30.8727370201153,0.380639831544384,0.592232141979888,0.972871973524272,0.0271280264757283,1,1.32641288509025,1.08867670983491,0.237736175255336,25.1925326242634,20.6772143410878,4.51531828317556,0.0597557760966787,0.998213026975246,0.967191913980074,-0.254046849088038,-0.980644334752203,-0.195797570767383,0.402101214616309,0.597898785383691,-0.0214613830719243,-0.00566664340380341,0.496295038514828,0.496295038531535,0.47213292880694,0.472132928722529,0.00349083869482243,0.0277659650983036,OK
8.95817959169758e-07,0.586020347354035,5.24967551598644e-07,3.62740151622539e-06,1.064e-06,0.635861243494657,36.4321656081842,0.886394701581517,0.0584839220250505,0.944878623606567,0.0551213763934338,1,1.28532336206116,1.01552280310265,0.269800558958503,27.5325395626879,21.7532199122241,5.77931965046385,0.67561187407834,-0.737257482569253,0.235690149562305,-0.971828253036152,-0.482814380983358,0.875722714970701,0.937861357485351,0.0621386425146493,-0.0514666559038339,-0.00365472048959883,0.497164642961635,0.497164642951498,0.485317128782202,0.485317128767134,0.00270363231017761,0.0146181303597961,OK
1.02527389725609e-06,0.599719542636868,6.1487679273994e-07,4.10418833225996e-06,1.064e-06,0.545546962201655,31.2575384603379,0.93582717300769,0.0345720989828389,0.970399271990529,0.0296007280094712,1,1.32233455480679,1.07867359526281,0.243660959543976,32.0484380958972,26.1430088307042,5.90542926519305,0.591172307234861,0.806545288969324,0.846974141280371,0.531634088450297,-0.368835652854658,0.92949462676407,0.964747313382035,0.0352526866179649,-0.028920140374345,-0.000680587635126025,0.496132084747179,0.496132084712656,0.473480674285252,0.473480674271747,0.00366315611237247,0.0264154136242025,OK
9.75101424476988e-07,0.598786729116648,5.8387779251956e-07,4.32262081289058e-06,1.064e-06,0.577086131068867,33.0645997257795,0.969906525265106,0.00360436009029486,0.973510885355401,0.0264891146445988,0.999999999999999,1.31064469924022,1.05949561288907,0.251149086351147,33.4557180921876,27.0448479021618,6.4108701900258,0.892022884853047,-0.451990235401659,0.942316872601176,-0.334722140903675,0.127338215316876,0.991859354404601,0.995929677202301,0.00407032279769925,-0.0260231519371951,-0.000465962707404396,0.496674689355837,0.496674689355683,0.478557418724493,0.478557418644632,0.00314932339950793,0.0213595035493984,OK
