sweep_parameter,Lambda_over_lambda,h_over_lambda,Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
Lambda_over_lambda,0.684,2,7.27776e-07,0.55,4.002768e-07,2.128e-06,1.064e-06,0.819777697301579,46.9698021943336,0.189286182875295,0.769423941430516,0.958710124305811,0.0412898756941882,0.999999999999999,1.19895022640373,0.876620307163886,0.322329919239844,15.0664528931591,11.0159356678948,4.05051722526435,0.598406224942994,-0.801192854404902,-0.999792714257144,0.020359973436433,-0.788843243704871,-0.614594449097271,0.192702775451364,0.807297224548636,-0.00341659257606955,-0.0378732831181199,0.498112580823021,0.498112580868995,0.494585281493393,0.494585281785807,0.00182998039713827,0.00537338129953459,OK
Lambda_over_lambda,0.687,2,7.30968e-07,0.55,4.020324e-07,2.128e-06,1.064e-06,0.815111455444021,46.7024462297082,0.184416791558648,0.774410993446219,0.958827785004867,0.041172214995132,0.999999999999999,1.20095417530168,0.879511194422571,0.321442980879105,15.0916352577029,11.0522636285917,4.0393716291112,0.578042696707554,-0.81600652006161,-0.998393589583677,0.0566589823260204,-0.781944367751557,-0.623348221896572,0.188325889051714,0.811674110948286,-0.00390909749306584,-0.0372631175020673,0.498083318238183,0.498083318195196,0.494480888287229,0.49448088804994,0.00185840202781414,0.00547688767695071,OK
Lambda_over_lambda,0.69,2,7.3416e-07,0.55,4.03788e-07,2.128e-06,1.064e-06,0.810508486202186,46.4387155189226,0.1796616042609,0.779174333819185,0.958835938080085,0.041164061919916,1,1.20292973511219,0.882359695803329,0.320570039308863,15.1164608744527,11.0880589526379,4.02840192181487,0.557608794410088,-0.830103868438479,-0.995726340864058,0.092352878187278,-0.775059510391036,-0.631888245936263,0.184055877031869,0.815944122968131,-0.00439427277096863,-0.0367697891489468,0.49805376635753,0.498053766323351,0.494374896964561,0.494374897266523,0.00188710575880007,0.00558197519246278,OK
Lambda_over_lambda,0.693,2,7.37352e-07,0.55,4.055436e-07,2.128e-06,1.064e-06,0.805967255717311,46.1785221783431,0.17502222200962,0.783722599278928,0.958744821288548,0.0412551787114519,1,1.20487747861858,0.885166816657824,0.319710661960759,15.1409369412157,11.1233342736547,4.017602667561,0.537126128091327,-0.84350193984461,-0.991849788094235,0.127412706813021,-0.768190526411839,-0.640221301684896,0.179889349157552,0.820110650842448,-0.00486712714793269,-0.0363880515635197,0.498023924448406,0.498023924446992,0.494267290451991,0.494267290090186,0.00191609236079216,0.00568866176720082,OK
Lambda_over_lambda,0.696,2,7.40544e-07,0.55,4.072992e-07,2.128e-06,1.064e-06,0.801486287419411,45.9217816067415,0.17049961053838,0.788064785538237,0.958564396076616,0.0414356039233828,0.999999999999999,1.20679796362667,0.887933531064313,0.318864432562353,15.1650704675866,11.1581018322708,4.00696863531587,0.516615016957757,-0.85621780187855,-0.986821446474303,0.161812956151117,-0.761339086660846,-0.64835391193578,0.17582304403211,0.82417695596789,-0.00532343349373024,-0.0361121704296536,0.497993791778113,0.497993791794109,0.494158049712604,0.494158048893489,0.0019453625891127,0.00579696547155034,OK
Lambda_over_lambda,0.699,2,7.43736e-07,0.55,4.090548e-07,2.128e-06,1.064e-06,0.797064159067143,45.6684123156914,0.166094153292189,0.792210132133103,0.958304285425291,0.0416957145747088,1,1.20869173345201,0.89066078309215,0.318030950359862,15.1888682810702,11.1923734920113,3.99649478905889,0.496094546721959,-0.868268507267616,-0.980697456234024,0.195531325715635,-0.754506692004623,-0.656292352324969,0.171853823837516,0.828146176162484,-0.00575967054532697,-0.0359360440293819,0.497963367639348,0.497963367602778,0.494047155726644,0.494047155786924,0.00197491718117465,0.00590690449244641,OK
Lambda_over_lambda,0.702,2,7.46928e-07,0.55,4.108104e-07,2.128e-06,1.064e-06,0.792699499983475,45.4183357711838,0.161805705395518,0.796168018825966,0.957973724221483,0.042026275778517,1,1.21055931738797,0.893349488002272,0.317209829385701,15.2123370329629,11.2261607543846,3.98617627857836,0.475582625281009,-0.879671055867375,-0.973532526316687,0.228548507331483,-0.747694686225471,-0.664042661423342,0.167978669288329,0.832021330711671,-0.00617296389281141,-0.0358533118857052,0.497932651221785,0.497932651249994,0.493934590971054,0.493934591142047,0.00200475686704658,0.00601849710616911,OK
Lambda_over_lambda,0.705,2,7.5012e-07,0.55,4.12566e-07,2.128e-06,1.064e-06,0.788390988471433,45.1714762455603,0.157633647460578,0.799947873613793,0.95758152107437,0.0424184789256301,1,1.21240123115541,0.896000533387581,0.316400697767829,15.2354832040042,11.2594747732118,3.97600843079238,0.455096036691198,-0.890442360508508,-0.965379890457219,0.26084797699198,-0.740904267938204,-0.671610650415071,0.164194674792465,0.835805325207535,-0.00656102733188696,-0.0358574515937427,0.497901641964111,0.497901641899442,0.493820336536725,0.493820336474468,0.0020348823404577,0.00613176172724208,OK
Lambda_over_lambda,0.708,2,7.53312e-07,0.55,4.143216e-07,2.128e-06,1.064e-06,0.784137349395697,44.9277606789487,0.153576938336375,0.803559092103359,0.957136030439734,0.0428639695602646,0.999999999999998,1.21421797733495,0.898614780256866,0.315603197078079,15.2583131098085,11.2923263682487,3.96598674155978,0.434650493411401,-0.900599216398296,-0.956291274317163,0.292415797563773,-0.734136501606183,-0.679001912375389,0.160499043812305,0.839500956187694,-0.00692210547593033,-0.0359418640843359,0.497870339062196,0.497870338992633,0.493704373233082,0.493704373341887,0.00206529430018272,0.00624671688883695,OK
Lambda_over_lambda,0.711,2,7.56504e-07,0.55,4.160772e-07,2.128e-06,1.064e-06,0.779937351917106,44.6871185494598,0.14963416608432,0.807010967814268,0.956645133898587,0.0433548661014132,1,1.21601004578257,0.901193064065644,0.314816981716931,15.2808329060877,11.3247260381388,3.95610686794889,0.414260686799626,-0.910158273803135,-0.94631687245656,0.323240432037879,-0.727392327728424,-0.686221831160905,0.156889084419548,0.843110915580452,-0.00725491833522787,-0.0360999477661849,0.497838741848121,0.497838741871539,0.49358668217495,0.493586682758884,0.00209599341768527,0.00636338123140197,OK
Lambda_over_lambda,0.714,2,7.59696e-07,0.55,4.178328e-07,2.128e-06,1.064e-06,0.775789807368346,44.4494817514733,0.145803596613384,0.810312632838899,0.956116229452284,0.0438837705477174,1,1.21777791402937,0.903736195697062,0.31404171833231,15.3030485936743,11.3566839727403,3.946364620934,0.393940335857848,-0.919136013756509,-0.935505334031427,0.353312566998044,-0.72067257226359,-0.69327558992581,0.153362205037095,0.846637794962905,-0.00755860842371039,-0.036325162124006,0.49780684977912,0.497806849788857,0.493467245230368,0.493467244750439,0.00212698033712831,0.00648177349304983,OK
Lambda_over_lambda,0.717,2,7.62888e-07,0.55,4.195884e-07,2.128e-06,1.064e-06,0.771693567260113,44.2147844813994,0.142083219584948,0.813473008152707,0.955556227737655,0.0444437722623458,1,1.21952204766602,0.906244962395777,0.31327708527024,15.3249660233534,11.3882100648613,3.93675595849203,0.37370223422945,-0.927548726553984,-0.923903756205789,0.38262494595731,-0.713977955350952,-0.700168179277574,0.149915910361213,0.850084089638787,-0.00783269077626464,-0.0366110814860805,0.497774662174134,0.497774662171073,0.493346041934879,0.493346041440344,0.00215825569961719,0.00660191256503823,OK
Lambda_over_lambda,0.72,2,7.6608e-07,0.55,4.21344e-07,2.128e-06,1.064e-06,0.767647521408031,43.9829631303587,0.138470791305119,0.816500762820938,0.954971554126057,0.0450284458739436,1,1.22124290071283,0.908720128657544,0.312522772055284,15.3465909005124,11.4193139214389,3.9272769790736,0.353558295461424,-0.935412492812883,-0.911557684359775,0.411172212199031,-0.707309099383524,-0.706904405085488,0.146547797457256,0.853452202542744,-0.00807700615213741,-0.0369514397218059,0.497742178417162,0.497742178416292,0.493223053258007,0.493223053286198,0.00218982012450025,0.00672381742216275,OK
Lambda_over_lambda,0.723,2,7.69272e-07,0.55,4.230996e-07,2.128e-06,1.064e-06,0.763650596171417,43.7539561832714,0.134963874431697,0.819404281310358,0.954368155742055,0.0456318442579452,1,1.22294091597596,0.911162437077045,0.311778478898912,15.3679287896178,11.4500048741929,3.91792391542488,0.333519596550198,-0.942743166889579,-0.898511118260452,0.438950760749257,-0.700666536483861,-0.713488895955438,0.143255552022281,0.856744447977719,-0.00829167759058408,-0.0373401666673607,0.497709397925873,0.497709397925021,0.49309826007812,0.49309826060744,0.00222167421220289,0.00684750714884838,OK
Lambda_over_lambda,0.726,2,7.72464e-07,0.55,4.248552e-07,2.128e-06,1.064e-06,0.759701752795789,43.5277041238897,0.131559874432948,0.822191638087239,0.953751512520187,0.0462484874798166,1,1.22461652539032,0.91357260915632,0.311043916234002,15.3889851185236,11.4802919897854,3.90869312873816,0.313596419795695,-0.949556362461609,-0.884806523440364,0.465958599102299,-0.694050715428835,-0.719926110384061,0.14003694480797,0.85996305519203,-0.00847707037502207,-0.0377714171047911,0.497676320147462,0.497676320105106,0.492971643375014,0.492971643394419,0.00225381854409706,0.00697300093423247,OK
Lambda_over_lambda,0.729,2,7.75656e-07,0.55,4.266108e-07,2.128e-06,1.064e-06,0.75579998585167,43.304149345348,0.128256072788483,0.824870578713801,0.953126651502284,0.0468733484977155,0.999999999999999,1.22627015034991,0.915951346076015,0.310318804273899,15.409765182623,11.5101840795124,3.8995811031106,0.293798292992902,-0.95586744009536,-0.870484847100737,0.49219521631971,-0.687462008065979,-0.726220343605087,0.136889828197456,0.863110171802544,-0.00863375540897329,-0.0382395930887429,0.497642944433541,0.497642944495148,0.492843182712184,0.49284318282881,0.0022862536966367,0.00710031810069567,OK
Lambda_over_lambda,0.732,2,7.78848e-07,0.55,4.283664e-07,2.128e-06,1.064e-06,0.751944321762903,43.0832360658415,0.125049656993863,0.827448506670792,0.952498163664655,0.0475018363353468,1,1.22790220202598,0.918299329431505,0.309602872594477,15.4302741488462,11.5396897085538,3.89058444029242,0.274134027994358,-0.961691496632672,-0.855585537922249,0.517661460124565,-0.68090071526033,-0.732375734140592,0.133812132929704,0.866187867070296,-0.00876247593584054,-0.0387393603995043,0.497609270418343,0.497609270388761,0.492712858907277,0.492712858615799,0.00231898019989698,0.00722947805073103,OK
