sweep_parameter,Lambda_over_lambda,h_over_lambda,Lambda_m,f,b_m,h_m,lambda_m,theta_rad,theta_deg,eta0_RCWA_TE,etam1_RCWA_TE,Tsum,Rsum,energy_sum,neff0_TE,neff1_TE,delta_neff_TE,phi0_TE,phi1_TE,delta_phi_TE,sin_phi0_TE,cos_phi0_TE,sin_phi1_TE,cos_phi1_TE,sin_dphi_TE,cos_dphi_TE,eta0_SMM_TE,etam1_SMM_TE,res_eta0_TE,res_etam1_TE,overlap_mode0_order0_TE,overlap_mode0_orderm1_TE,overlap_mode1_order0_TE,overlap_mode1_orderm1_TE,overlap_mode0_order1_TE,overlap_mode1_order1_TE,status
h_over_lambda,1,0.685,1.064e-06,0.55,5.852e-07,7.2884e-07,1.064e-06,0.523598775598299,30,0.699115041499128,0.276049419886101,0.975164461385229,0.0248355386147717,1,1.31876542009011,1.05467795403357,0.264087466056541,5.6759425451218,4.53931486184413,1.13662768327767,-0.570605320778671,0.821224432112848,-0.985060024147431,-0.172211349296913,0.907220071134835,0.420656323535145,0.710328161767573,0.289671838232427,-0.0112131202684446,-0.0136224183463262,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.7035,1.064e-06,0.55,5.852e-07,7.48524e-07,1.064e-06,0.523598775598299,30,0.687170732350075,0.288106632057088,0.975277364407164,0.0247226355928356,0.999999999999999,1.31876542009011,1.05467795403357,0.264087466056541,5.82923442407764,4.66190949679904,1.1673249272786,-0.438519691308943,0.89872158109968,-0.998726181396003,-0.0504580478631338,0.919703620402855,0.392613360213176,0.696306680106588,0.303693319893412,-0.00913594775651261,-0.0155866878363236,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.722,1.064e-06,0.55,5.852e-07,7.68208e-07,1.064e-06,0.523598775598299,30,0.674833906308342,0.300099150597939,0.974933056906281,0.0250669430937198,1,1.31876542009011,1.05467795403357,0.264087466056541,5.98252630303348,4.78450413175395,1.19802217127953,-0.296149713152816,0.95514153265341,-0.997400829200696,0.0720526606709603,0.931320581882932,0.364200458211184,0.682100229105592,0.317899770894408,-0.00726632279725026,-0.0178006202964686,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.7405,1.064e-06,0.55,5.852e-07,7.87892e-07,1.064e-06,0.523598775598299,30,0.66203022907005,0.312127682467586,0.974157911537636,0.0258420884623639,1,1.31876542009011,1.05467795403357,0.264087466056541,6.13581818198933,4.90709876670887,1.22871941528046,-0.14683430706311,0.989161102282786,-0.981103861933282,0.193481813356188,0.942060009530354,0.335444389494994,0.667722194747497,0.332277805252503,-0.00569196567744745,-0.0201501227849166,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.759,1.064e-06,0.55,5.852e-07,8.07576e-07,1.064e-06,0.523598775598299,30,0.648696993263805,0.324304255789289,0.973001249053094,0.0269987509469062,1,1.31876542009011,1.05467795403357,0.264087466056541,6.28911006094517,5.02969340166378,1.25941665928139,0.00592471910316493,0.99998244869775,-0.950079907343838,0.312006682078325,0.951911784153847,0.30637224937817,0.653186124689085,0.346813875310915,-0.00448913142528018,-0.0225096195216262,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.7775,1.064e-06,0.55,5.852e-07,8.2726e-07,1.064e-06,0.523598775598299,30,0.634789508244758,0.336741359114201,0.971530867358959,0.0284691326410409,1,1.31876542009011,1.05467795403357,0.264087466056541,6.44240193990102,5.1522880366187,1.29011390328232,0.158544796259093,0.987351785119753,-0.90479465454403,0.425848133855896,0.960866622950356,0.277011430991535,0.638505715495768,0.361494284504232,-0.00371620725100963,-0.0247529253900316,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.796,1.064e-06,0.55,5.852e-07,8.46944e-07,1.064e-06,0.523598775598299,30,0.620286006281324,0.349541025715239,0.969827031996563,0.0301729680034363,0.999999999999999,1.31876542009011,1.05467795403357,0.264087466056541,6.59569381885686,5.27488267157361,1.32081114728325,0.307446614008524,0.951565331196284,-0.845927863720048,0.533297336747555,0.968916088251732,0.247389599472091,0.623694799736045,0.376305200263955,-0.00340879345472189,-0.0267641745487154,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.8145,1.064e-06,0.55,5.852e-07,8.66628e-07,1.064e-06,0.523598775598299,30,0.605190958468316,0.362785091072336,0.967976049540652,0.0320239504593481,1,1.31876542009011,1.05467795403357,0.264087466056541,6.74898569781271,5.39747730652853,1.35150839128418,0.449138064142584,0.893462365932809,-0.774363162503777,0.632741410496539,0.9760525954751,0.217534665895625,0.608767332947812,0.391232667052188,-0.00357637447949632,-0.0284475759798513,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.833,1.064e-06,0.55,5.852e-07,8.86312e-07,1.064e-06,0.523598775598299,30,0.58953686847366,0.376527729089696,0.966064597563355,0.0339354024366447,1,1.31876542009011,1.05467795403357,0.264087466056541,6.90227757676855,5.52007194148344,1.38220563528511,0.580296139033699,0.814405544567681,-0.691174782165125,0.722687636879857,0.982269420269406,0.18747476097759,0.593737380488795,0.406262619511205,-0.00420051201513527,-0.0297348904215095,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.8515,1.064e-06,0.55,5.852e-07,9.05996e-07,1.064e-06,0.523598775598299,30,0.573384618016033,0.390791083813872,0.964175701829905,0.0358242981700953,1,1.31876542009011,1.05467795403357,0.264087466056541,7.05556945572439,5.64266657643835,1.41290287928604,0.697844864211511,0.716248941006978,-0.597611432723614,0.801785866349632,0.987560704851419,0.15723820856703,0.578619104283515,0.421380895716485,-0.00523448626748224,-0.030589811902613,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.87,1.064e-06,0.55,5.852e-07,9.2568e-07,1.064e-06,0.523598775598299,30,0.556822329020803,0.405564399078594,0.962386728099397,0.0376132719006034,1,1.31876542009011,1.05467795403357,0.264087466056541,7.20886133468024,5.76526121139327,1.44360012328697,0.799027437413017,0.601294565301556,-0.495077559023968,0.868848784628757,0.991921463525203,0.126853498958521,0.563426749479261,0.43657325052074,-0.00660442045845744,-0.031008851442146,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.8885,1.064e-06,0.55,5.852e-07,9.45364e-07,1.064e-06,0.523598775598299,30,0.539962585449931,0.420806568194569,0.9607691536445,0.0392308463555003,1,1.31876542009011,1.05467795403357,0.264087466056541,7.36215321363608,5.88785584634818,1.4742973672879,0.881470882271558,0.472238375936773,-0.385112259133826,0.922869735046523,0.995347587379878,0.0963492620472838,0.548174631023642,0.451825368976358,-0.0082120455737108,-0.0310188007817888,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.907,1.064e-06,0.55,5.852e-07,9.65048e-07,1.064e-06,0.523598775598299,30,0.522937824446145,0.436451551658709,0.959389376104854,0.0406106238951459,1,1.31876542009011,1.05467795403357,0.264087466056541,7.51544509259193,6.0104504813031,1.50499461128883,0.94324170035904,0.332107053077448,-0.269366181511706,0.9630378290897,0.997835848161225,0.0657542403527597,0.53287712017638,0.46712287982362,-0.00993929573023511,-0.0306713281649106,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.9255,1.064e-06,0.55,5.852e-07,9.84732e-07,1.064e-06,0.523598775598299,30,0.505893819179338,0.452415721467755,0.958309540647093,0.0416904593529073,1,1.31876542009011,1.05467795403357,0.264087466056541,7.66873697154777,6.13304511625801,1.53569185528976,0.982891216406266,0.184187015588532,-0.149576747733296,0.988750118350198,0.9993839013135,0.0350972619360578,0.517548630968029,0.482451369031971,-0.0116548117886911,-0.0300356475642156,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.944,1.064e-06,0.55,5.852e-07,1.004416e-06,1.064e-06,0.523598775598299,30,0.488981425347505,0.46860596002008,0.957587385367585,0.0424126146324152,1,1.31876542009011,1.05467795403357,0.264087466056541,7.82202885050361,6.25563975121293,1.56638909929069,0.999489553246125,0.0319473465543019,-0.0275420726985759,0.999620645160686,0.999990288188583,0.00440721323681133,0.502203606618406,0.497796393381594,-0.0132221812709004,-0.0291904333615149,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.9625,1.064e-06,0.55,5.852e-07,1.0241e-06,1.064e-06,0.523598775598299,30,0.47234708017999,0.484927321211361,0.957274401391351,0.0427255986086492,1,1.31876542009011,1.05467795403357,0.264087466056541,7.97532072945946,6.37823438616784,1.59708634329162,0.992647439684966,-0.121041565120753,0.0949060262061261,0.995486236062439,0.999654437420385,-0.0262869881449798,0.48685650592751,0.51314349407249,-0.0145094257475203,-0.0282161728611284,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
h_over_lambda,1,0.981,1.064e-06,0.55,5.852e-07,1.043784e-06,1.064e-06,0.523598775598299,30,0.456122828855962,0.501289260474449,0.957412089330411,0.0425879106695899,1,1.31876542009011,1.05467795403357,0.264087466056541,8.1286126084153,6.50082902112276,1.62778358729255,0.962525339854752,-0.271191758977839,0.215929525841627,0.97640895114179,0.998376665463215,-0.0569564206964611,0.471521789651769,0.528478210348231,-0.0153989607958078,-0.0271889498737814,0.493382524921856,0.493382524928915,0.470938707713089,0.47093870768798,0.00643579618780989,0.0287607607632618,OK
